85, 68, [water pump, PVC elbow joint, Ball valve, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


85, 70, [water pump, PVC elbow joint, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


84, 63, [water pump, PVC elbow joint, Ball valve, Francis Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


84, 65, [water pump, PVC elbow joint, Ball valve, Pelton Wheel Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


84, 65, [water pump, PVC elbow joint, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


84, 68, [water pump, PVC elbow joint, Ball valve, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


84, 68, [water pump, PVC elbow joint, Ball valve, Francis Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


84, 70, [water pump, PVC elbow joint, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


84, 70, [water pump, PVC elbow joint, Flow restrictor, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


84, 70, [water pump, PVC elbow joint, Ball valve, Kaplan Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


84, 72, [water pump, PVC elbow joint, Flow restrictor, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


84, 78, [water pump, PVC elbow joint, Inline water flow regulator, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


84, 78, [water pump, Flexible hose, Ball valve, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


84, 80, [water pump, PVC elbow joint, Inline water flow regulator, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


84, 80, [water pump, Flexible hose, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


83, 60, [water pump, PVC elbow joint, Ball valve, Pelton Wheel Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


83, 63, [water pump, PVC elbow joint, Ball valve, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, 18650 battery, USB, ]


83, 63, [water pump, PVC elbow joint, Ball valve, Francis Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Supercapacitor, USB, ]


83, 63, [water pump, PVC elbow joint, Adjustable clamp, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


83, 63, [water pump, PVC elbow joint, Ball valve, Francis Turbine, PVC pipe outlet, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


